group_city,lat,lon
Adelaide,-34.9287264,138.5999453
Arizona,34.0489281,-111.0937311
Atlanta,33.7489954,-84.3879824
Boston,33.7489954,-84.3879824
Canberra,-35.3082355,149.1242241
Dallas,32.7801399,-96.8004511
DC,38.8951118,-77.0363658
Houston,29.7601927,-95.3693896
LA,31.2448234,-92.1450245
London,51.5081289,-0.128005
Melbourne,28.0836269,-80.6081089
Minnesota,46.729553,-94.6858998
Missouri,37.9642529,-91.8318334
Nashville,36.1666667,-86.7833333
Nevbraska,41.4925374,-99.9018131
Paris,48.856614,2.3522219
Philadelphia,39.952335,-75.163789
SanAntonio,29.4241219,-98.4936282
SanDiego,32.7153292,-117.1572551
BayArea,37.7141454,-122.25
StLouis,38.6270025,-90.1994042
Sydney,-33.8674869,151.2069902
Raleigh,35.772096,-78.6386145
